application_id,customer_id,application_date,requested_amount,loan_purpose,application_status,application_channel,decision_date
APP0000001,CUST0001630,2022-03-02,10233.67,Auto,Rejected,Branch,2022-03-10
APP0000002,CUST0000231,2023-09-11,15632.82,Medical,Rejected,Mobile App,2023-09-17
APP0000003,CUST0001462,2022-08-30,132351.41,Business,Approved,Online,2022-09-13
APP0000004,CUST0001662,2023-10-01,12146.53,Auto,Rejected,Mobile App,2023-10-03
APP0000005,CUST0001343,2023-08-10,70262.29,Debt Consolidation,Rejected,Mobile App,2023-08-19
APP0000006,CUST0001293,2026-05-26,4443.6,Medical,Pending,Online,2026-08-24
APP0000007,CUST0000277,2024-12-16,22409.06,Education,Rejected,Mobile App,2024-12-29
APP0000008,CUST0001226,2021-12-28,4084.71,Education,Rejected,Branch,2022-01-12
APP0000009,CUST0000453,2024-01-31,21042.93,Home Improvement,Rejected,Mobile App,2024-02-06
APP0000010,CUST0000493,2025-06-08,23000.98,Personal,Rejected,Mobile App,2025-06-19
APP0000011,CUST0001723,2024-02-10,7926.57,Business,Pending,Online,2026-08-24
APP0000012,CUST0001231,2024-08-26,17366.45,Business,Rejected,Mobile App,2024-09-04
APP0000013,CUST0001987,2024-03-18,18504.16,Wedding,Approved,Online,2024-04-07
APP0000014,CUST0000910,2026-06-28,14217.77,Education,Pending,Online,2026-08-24
APP0000015,CUST0000716,2024-12-06,15206.27,Education,Rejected,Branch,2024-12-19
APP0000016,CUST0001991,2024-06-09,2840.41,Personal,Rejected,Mobile App,2024-06-18
APP0000017,CUST0001246,2026-05-11,15583.5,Personal,Rejected,Call Center,2026-05-30
APP0000018,CUST0001727,2023-01-19,57811.76,Personal,Approved,Online,2023-01-28
APP0000019,CUST0000089,2025-06-02,27891.68,Business,Rejected,Mobile App,2025-06-18
APP0000020,CUST0001052,2025-07-19,81020.48,Debt Consolidation,REJECTED,Call Center,2025-07-31
APP0000021,CUST0001634,2023-07-01,8766.21,Auto,Approved,Partner Referral,2023-07-02
APP0000022,CUST0001617,2026-07-29,,Education,Approved,Online,2026-08-13
APP0000023,CUST0001431,2023-02-15,15231.41,Medical,Rejected,Online,2023-03-05
APP0000024,CUST0000330,2026-03-09,11228.66,Debt Consolidation,Rejected,Branch,2026-03-25
APP0000025,CUST0001094,2021-09-28,14270.85,Auto,Rejected,Call Center,2021-10-11
APP0000026,CUST0000203,2023-02-14,34393.08,Auto,Approved,Online,2023-02-15
APP0000027,CUST0001604,2023-03-05,13420.59,Debt Consolidation,Rejected,Branch,2023-03-06
APP0000028,CUST0001262,2023-05-19,29831.57,Personal,Approved,Partner Referral,2023-06-06
APP0000029,CUST0000388,2023-10-31,16652.5,Medical,Rejected,Branch,2023-11-10
APP0000030,CUST0001454,2025-06-03,35493.92,Personal,Rejected,Mobile App,2025-06-13
APP0000031,CUST0001439,2023-10-19,7489.45,Personal,Rejected,Partner Referral,2023-11-01
APP0000032,CUST0000107,2024-08-21,,Wedding,Withdrawn,Online,2024-09-09
APP0000033,CUST0000179,2022-03-22,30637.44,Wedding,Approved,Online,2022-03-31
APP0000034,CUST0000402,2021-09-15,3310.39,Medical,Approved,Online,2021-09-26
APP0000035,CUST0000141,2023-08-15,6399.37,Home Improvement,Rejected,Mobile App,2023-08-27
APP0000036,CUST0001075,2022-05-11,17327.91,Debt Consolidation,Rejected,Online,2022-05-21
APP0000037,CUST0001760,2022-03-12,14737.03,Education,Rejected,Online,2022-03-26
APP0000038,CUST0000126,2022-01-28,37704.34,Home Improvement,Withdrawn,Online,2022-02-01
APP0000039,CUST0001230,2023-01-05,16450.79,Home Improvement,Rejected,Branch,2023-01-13
APP0000040,CUST0000849,2022-07-17,32577.49,,Approved,Mobile App,2022-07-27
APP0000041,CUST0001673,2022-05-16,5831.35,Auto,Approved,Branch,2022-05-27
APP0000042,CUST0000965,2023-03-04,16274.18,Auto,Pending,Mobile App,2026-08-24
APP0000043,CUST0001338,2022-12-02,48428.34,Auto,Approved,Partner Referral,2022-12-11
APP0000044,CUST0001844,2026-06-26,15251.03,Education,Rejected,Mobile App,2026-07-14
APP0000045,CUST0000273,2024-11-04,17721.48,Wedding,Pending,Mobile App,2026-08-24
APP0000046,CUST0000632,2025-01-11,43217.21,Business,Rejected,Online,2025-01-29
APP0000047,CUST0000540,2025-01-29,6452.47,Business,Approved,Branch,2025-02-10
APP0000048,CUST0000338,2021-12-02,24081.62,Home Improvement,Rejected,Online,2021-12-12
APP0000049,CUST0001296,2024-02-12,13488.28,Debt Consolidation,Rejected,Branch,2024-02-21
APP0000050,CUST0000016,2024-09-07,7512.8,Home Improvement,Pending,Partner Referral,2026-08-24
APP0000051,CUST0000772,2026-05-05,66412.9,Personal,Rejected,Online,2026-05-19
APP0000052,CUST0000244,2023-10-31,13430.05,Home Improvement,Rejected,Online,2023-11-18
APP0000053,CUST0001231,2023-01-07,42327.02,Wedding,Approved,Mobile App,2023-01-24
APP0000054,CUST0001502,2025-06-01,56956.5,,Approved,Partner Referral,2025-06-20
APP0000055,CUST0000934,2022-07-28,2637.16,Personal,Approved,Mobile App,2022-08-08
APP0000056,CUST0000890,2026-01-25,8289.41,Auto,Rejected,Online,2026-02-02
APP0000057,CUST0000900,2023-06-07,1417.55,Home Improvement,Approved,Branch,2023-06-26
APP0000058,CUST0000398,2021-12-22,24991.31,Home Improvement,Pending,Online,2026-08-24
APP0000059,CUST0000752,2023-05-30,42801.06,Personal,Approved,Mobile App,2023-06-06
APP0000060,CUST0001867,2026-07-19,62266.01,Medical,Rejected,Mobile App,2026-08-07
APP0000061,CUST0000083,2023-10-24,15014.35,Medical,Rejected,Mobile App,2023-11-08
APP0000062,CUST0001576,2021-12-08,31943.1,Home Improvement,Rejected,Online,2021-12-20
APP0000063,CUST0000330,2023-07-06,16675.26,Auto,Rejected,Partner Referral,2023-07-17
APP0000064,CUST0000229,2025-04-23,2410.84,Auto,Approved,Online,2025-05-03
APP0000065,CUST0000572,2021-12-02,27683.98,Business,Approved,Online,2021-12-20
APP0000066,CUST0000538,2026-03-01,11159.92,Personal,Rejected,Mobile App,2026-03-10
APP0000067,CUST0000633,2025-05-30,36998.17,Medical,pending,Branch,2026-08-24
APP0000068,CUST0001699,2025-05-28,500.0,Auto,Pending,Branch,2026-08-24
APP0000069,CUST0001810,2025-05-30,8458.12,Medical,Rejected,Online,2025-06-02
APP0000070,CUST0001385,2022-05-27,60892.72,Home Improvement,Rejected,Online,2022-06-01
APP0000071,CUST0000293,2025-08-27,38700.27,Debt Consolidation,Rejected,Online,2025-09-02
APP0000072,CUST0001892,2022-09-08,730.19,Home Improvement,Pending,Mobile App,2026-08-24
APP0000073,CUST0001695,2022-06-01,70095.5,Debt Consolidation,Approved,Online,2022-06-15
APP0000074,CUST0000153,2021-11-08,4368.6,Debt Consolidation,Approved,Partner Referral,2021-11-20
APP0000075,CUST0000775,2022-05-13,15826.96,Home Improvement,Pending,Mobile App,2026-08-24
APP0000076,CUST0001551,2022-04-21,17102.2,Wedding,Pending,Mobile App,2026-08-24
APP0000077,CUST0000179,2026-01-25,19877.63,Home Improvement,Rejected,Call Center,2026-01-27
APP0000078,CUST0000153,2021-12-14,45657.54,Business,Rejected,Mobile App,2021-12-25
APP0000079,CUST0001212,2024-11-18,2610.04,Home Improvement,Pending,Branch,2026-08-24
APP0000080,CUST0000674,2021-11-30,25497.13,Medical,Approved,Call Center,2021-12-02
APP0000081,CUST0000884,2026-06-15,2676.1,Education,Approved,Branch,2026-07-02
APP0000082,CUST0001502,2024-06-16,31929.73,Education,Rejected,Online,2024-06-17
APP0000083,CUST0001090,2024-03-21,20259.44,Personal,Rejected,Branch,2024-04-10
APP0000084,CUST0001423,2022-01-12,37281.69,Auto,Rejected,Online,2022-01-22
APP0000085,CUST0000253,2025-12-27,7264.06,Business,Rejected,Mobile App,2026-01-13
APP0000086,CUST0000005,2023-10-10,19758.04,Medical,Rejected,Partner Referral,2023-10-14
APP0000087,CUST0000504,2022-05-07,25588.67,Medical,Approved,Mobile App,2022-05-17
APP0000088,CUST0000404,2025-03-12,86628.86,Auto,Approved,Online,2025-03-30
APP0000089,CUST0000649,2026-05-14,14685.12,Wedding,Rejected,Online,2026-05-16
APP0000090,CUST0001558,2021-09-21,2223.09,Personal,Withdrawn,Online,2021-09-30
APP0000091,CUST0000304,2022-08-28,10150.5,Medical,Pending,Online,2026-08-24
APP0000092,CUST0000253,2024-11-03,9639.09,Business,Approved,Branch,2024-11-11
APP0000093,CUST0000402,2021-12-16,16278.07,Wedding,Rejected,Mobile App,2021-12-12
APP0000094,CUST0000653,2025-06-07,46035.29,Auto,Rejected,Mobile App,2025-06-18
