credit_history_id,customer_id,record_date,credit_score,total_outstanding_debt,credit_utilization,number_of_open_accounts,number_of_closed_accounts,previous_defaults,previous_late_payments
CRHIST0000001,CUST0000001,2026-08-15,610.0,2566.35,0.3677,8,0,0,0
CRHIST0000002,CUST0000001,2026-08-15,595.0,901.57,0.1142,2,4,0,0
CRHIST0000003,CUST0000001,2026-08-16,611.0,7169.32,0.5901,1,0,0,0
CRHIST0000004,CUST0000001,2026-08-16,610.0,2538.67,0.1833,4,5,0,0
CRHIST0000005,CUST0000002,2024-09-13,618.0,3099.98,0.1638,4,3,0,0
CRHIST0000006,CUST0000002,2024-09-19,605.0,10800.1,0.5304,6,1,0,0
CRHIST0000007,CUST0000002,2025-02-23,596.0,5228.41,0.2938,7,4,0,0
CRHIST0000008,CUST0000002,2025-04-28,590.0,1075.87,0.1186,9,0,0,0
CRHIST0000009,CUST0000002,2025-06-13,581.0,10200.7,0.5481,3,1,0,0
CRHIST0000010,CUST0000003,2019-08-20,766.0,9230.28,0.2389,5,3,0,0
CRHIST0000011,CUST0000004,2024-11-09,,2249.42,0.6959,3,2,0,0
CRHIST0000012,CUST0000004,2025-01-03,616.0,2408.75,0.503,5,2,0,0
CRHIST0000013,CUST0000004,2025-03-24,599.0,3125.9,0.7248,3,1,0,0
CRHIST0000014,CUST0000004,2025-05-21,587.0,1948.54,0.7968,6,1,0,2
CRHIST0000015,CUST0000004,2025-12-14,572.0,1951.38,0.4007,5,1,0,2
CRHIST0000016,CUST0000005,2025-09-27,718.0,8158.88,0.6027,2,3,0,2
CRHIST0000017,CUST0000005,2025-10-13,711.0,12433.25,0.4819,1,3,0,2
CRHIST0000018,CUST0000005,2025-11-18,710.0,0.0,0.0,4,0,0,2
CRHIST0000019,CUST0000005,2025-12-15,712.0,2086.33,0.0736,1,3,0,2
CRHIST0000020,CUST0000005,2026-03-21,720.0,7407.22,0.6314,6,2,0,2
CRHIST0000021,CUST0000005,2026-05-02,734.0,15804.84,0.4973,3,0,0,2
CRHIST0000022,CUST0000005,2026-06-08,745.0,6406.67,0.2995,5,3,1,2
CRHIST0000023,CUST0000006,2023-05-22,682.0,3506.64,0.3766,9,3,0,0
CRHIST0000024,CUST0000006,2023-12-31,689.0,2705.66,0.505,7,3,0,0
