issue_id,entity,record_id,issue_type,issue_description,severity,injected_at
1,customers,CUST0000037,missing_annual_income,annual_income was set to NULL (simulated missing operational data),medium,2026-08-24
2,customers,CUST0000040,missing_annual_income,annual_income was set to NULL (simulated missing operational data),medium,2026-08-24
3,customers,CUST0000310,missing_annual_income,annual_income was set to NULL (simulated missing operational data),medium,2026-08-24
4,customers,CUST0000325,missing_annual_income,annual_income was set to NULL (simulated missing operational data),medium,2026-08-24
5,customers,CUST0000332,missing_annual_income,annual_income was set to NULL (simulated missing operational data),medium,2026-08-24
6,customers,CUST0000343,missing_annual_income,annual_income was set to NULL (simulated missing operational data),medium,2026-08-24
7,customers,CUST0000493,missing_annual_income,annual_income was set to NULL (simulated missing operational data),medium,2026-08-24
8,customers,CUST0000550,missing_annual_income,annual_income was set to NULL (simulated missing operational data),medium,2026-08-24
9,customers,CUST0000618,missing_annual_income,annual_income was set to NULL (simulated missing operational data),medium,2026-08-24
10,customers,CUST0000628,missing_annual_income,annual_income was set to NULL (simulated missing operational data),medium,2026-08-24
11,customers,CUST0000642,missing_annual_income,annual_income was set to NULL (simulated missing operational data),medium,2026-08-24
12,customers,CUST0000675,missing_annual_income,annual_income was set to NULL (simulated missing operational data),medium,2026-08-24
13,customers,CUST0000680,missing_annual_income,annual_income was set to NULL (simulated missing operational data),medium,2026-08-24
14,customers,CUST0000778,missing_annual_income,annual_income was set to NULL (simulated missing operational data),medium,2026-08-24
15,customers,CUST0000791,missing_annual_income,annual_income was set to NULL (simulated missing operational data),medium,2026-08-24
16,customers,CUST0000793,missing_annual_income,annual_income was set to NULL (simulated missing operational data),medium,2026-08-24
17,customers,CUST0000819,missing_annual_income,annual_income was set to NULL (simulated missing operational data),medium,2026-08-24
18,customers,CUST0000827,missing_annual_income,annual_income was set to NULL (simulated missing operational data),medium,2026-08-24
19,customers,CUST0000943,missing_annual_income,annual_income was set to NULL (simulated missing operational data),medium,2026-08-24
20,customers,CUST0000960,missing_annual_income,annual_income was set to NULL (simulated missing operational data),medium,2026-08-24
21,customers,CUST0000984,missing_annual_income,annual_income was set to NULL (simulated missing operational data),medium,2026-08-24
22,customers,CUST0000987,missing_annual_income,annual_income was set to NULL (simulated missing operational data),medium,2026-08-24
23,customers,CUST0001012,missing_annual_income,annual_income was set to NULL (simulated missing operational data),medium,2026-08-24
24,customers,CUST0001021,missing_annual_income,annual_income was set to NULL (simulated missing operational data),medium,2026-08-24
25,customers,CUST0001051,missing_annual_income,annual_income was set to NULL (simulated missing operational data),medium,2026-08-24
26,customers,CUST0001083,missing_annual_income,annual_income was set to NULL (simulated missing operational data),medium,2026-08-24
27,customers,CUST0001279,missing_annual_income,annual_income was set to NULL (simulated missing operational data),medium,2026-08-24
28,customers,CUST0001292,missing_annual_income,annual_income was set to NULL (simulated missing operational data),medium,2026-08-24
29,customers,CUST0001348,missing_annual_income,annual_income was set to NULL (simulated missing operational data),medium,2026-08-24
30,customers,CUST0001436,missing_annual_income,annual_income was set to NULL (simulated missing operational data),medium,2026-08-24
31,customers,CUST0001534,missing_annual_income,annual_income was set to NULL (simulated missing operational data),medium,2026-08-24
32,customers,CUST0001539,missing_annual_income,annual_income was set to NULL (simulated missing operational data),medium,2026-08-24
33,customers,CUST0001571,missing_annual_income,annual_income was set to NULL (simulated missing operational data),medium,2026-08-24
34,customers,CUST0001582,missing_annual_income,annual_income was set to NULL (simulated missing operational data),medium,2026-08-24
35,customers,CUST0001661,missing_annual_income,annual_income was set to NULL (simulated missing operational data),medium,2026-08-24
36,customers,CUST0001705,missing_annual_income,annual_income was set to NULL (simulated missing operational data),medium,2026-08-24
37,customers,CUST0001717,missing_annual_income,annual_income was set to NULL (simulated missing operational data),medium,2026-08-24
38,customers,CUST0001864,missing_annual_income,annual_income was set to NULL (simulated missing operational data),medium,2026-08-24
39,customers,CUST0001910,missing_annual_income,annual_income was set to NULL (simulated missing operational data),medium,2026-08-24
40,customers,CUST0001939,missing_annual_income,annual_income was set to NULL (simulated missing operational data),medium,2026-08-24
41,customers,CUST0000054,missing_employment_status,employment_status was set to NULL (simulated missing operational data),medium,2026-08-24
42,customers,CUST0000161,missing_employment_status,employment_status was set to NULL (simulated missing operational data),medium,2026-08-24
43,customers,CUST0000224,missing_employment_status,employment_status was set to NULL (simulated missing operational data),medium,2026-08-24
44,customers,CUST0000227,missing_employment_status,employment_status was set to NULL (simulated missing operational data),medium,2026-08-24
45,customers,CUST0000251,missing_employment_status,employment_status was set to NULL (simulated missing operational data),medium,2026-08-24
46,customers,CUST0000292,missing_employment_status,employment_status was set to NULL (simulated missing operational data),medium,2026-08-24
47,customers,CUST0000470,missing_employment_status,employment_status was set to NULL (simulated missing operational data),medium,2026-08-24
48,customers,CUST0000513,missing_employment_status,employment_status was set to NULL (simulated missing operational data),medium,2026-08-24
49,customers,CUST0000515,missing_employment_status,employment_status was set to NULL (simulated missing operational data),medium,2026-08-24
50,customers,CUST0000563,missing_employment_status,employment_status was set to NULL (simulated missing operational data),medium,2026-08-24
51,customers,CUST0000654,missing_employment_status,employment_status was set to NULL (simulated missing operational data),medium,2026-08-24
52,customers,CUST0000699,missing_employment_status,employment_status was set to NULL (simulated missing operational data),medium,2026-08-24
53,customers,CUST0000704,missing_employment_status,employment_status was set to NULL (simulated missing operational data),medium,2026-08-24
54,customers,CUST0000737,missing_employment_status,employment_status was set to NULL (simulated missing operational data),medium,2026-08-24
55,customers,CUST0000747,missing_employment_status,employment_status was set to NULL (simulated missing operational data),medium,2026-08-24
56,customers,CUST0000770,missing_employment_status,employment_status was set to NULL (simulated missing operational data),medium,2026-08-24
57,customers,CUST0000773,missing_employment_status,employment_status was set to NULL (simulated missing operational data),medium,2026-08-24
58,customers,CUST0000829,missing_employment_status,employment_status was set to NULL (simulated missing operational data),medium,2026-08-24
59,customers,CUST0000939,missing_employment_status,employment_status was set to NULL (simulated missing operational data),medium,2026-08-24
60,customers,CUST0000953,missing_employment_status,employment_status was set to NULL (simulated missing operational data),medium,2026-08-24
61,customers,CUST0001191,missing_employment_status,employment_status was set to NULL (simulated missing operational data),medium,2026-08-24
62,customers,CUST0001239,missing_employment_status,employment_status was set to NULL (simulated missing operational data),medium,2026-08-24
63,customers,CUST0001259,missing_employment_status,employment_status was set to NULL (simulated missing operational data),medium,2026-08-24
64,customers,CUST0001274,missing_employment_status,employment_status was set to NULL (simulated missing operational data),medium,2026-08-24
65,customers,CUST0001451,missing_employment_status,employment_status was set to NULL (simulated missing operational data),medium,2026-08-24
66,customers,CUST0001475,missing_employment_status,employment_status was set to NULL (simulated missing operational data),medium,2026-08-24
67,customers,CUST0001493,missing_employment_status,employment_status was set to NULL (simulated missing operational data),medium,2026-08-24
68,customers,CUST0001543,missing_employment_status,employment_status was set to NULL (simulated missing operational data),medium,2026-08-24
69,customers,CUST0001555,missing_employment_status,employment_status was set to NULL (simulated missing operational data),medium,2026-08-24
70,customers,CUST0001578,missing_employment_status,employment_status was set to NULL (simulated missing operational data),medium,2026-08-24
71,customers,CUST0001615,missing_employment_status,employment_status was set to NULL (simulated missing operational data),medium,2026-08-24
72,customers,CUST0001638,missing_employment_status,employment_status was set to NULL (simulated missing operational data),medium,2026-08-24
73,customers,CUST0001693,missing_employment_status,employment_status was set to NULL (simulated missing operational data),medium,2026-08-24
74,customers,CUST0001706,missing_employment_status,employment_status was set to NULL (simulated missing operational data),medium,2026-08-24
75,customers,CUST0001750,missing_employment_status,employment_status was set to NULL (simulated missing operational data),medium,2026-08-24
76,customers,CUST0001764,missing_employment_status,employment_status was set to NULL (simulated missing operational data),medium,2026-08-24
77,customers,CUST0001843,missing_employment_status,employment_status was set to NULL (simulated missing operational data),medium,2026-08-24
