loan_id,application_id,customer_id,loan_amount,interest_rate,term_months,start_date,maturity_date,loan_status,monthly_payment
LOAN0000001,APP0002614,CUST0000670,2140.69,9.65,12,2024-09-15,2025-09-15,Paid Off,187.85
LOAN0000002,APP0001148,CUST0001496,8357.95,10.2,36,2022-12-25,2025-12-24,Paid Off,270.47
LOAN0000003,APP0002894,CUST0001611,53158.92,6.91,24,2025-05-01,2027-05-01,Active,2377.89
LOAN0000004,APP0000622,CUST0000109,906.8,13.16,24,2024-03-12,2026-03-12,Paid Off,43.18
LOAN0000005,APP0000776,CUST0001873,8292.56,7.7,36,2021-09-30,2024-09-29,Paid Off,258.71
LOAN0000006,APP0000510,CUST0001607,8288.11,10.43,36,2026-05-19,2029-05-18,Active,269.11
LOAN0000007,APP0000535,CUST0001095,21679.1,7.39,36,2025-12-14,2028-12-13,Active,673.26
LOAN0000008,APP0000339,CUST0000149,38714.11,,12,2026-08-31,2027-08-31,Active,3420.53
LOAN0000009,APP0000232,CUST0001784,13242.64,8.37,36,2023-08-15,2026-08-14,Paid Off,417.24
LOAN0000010,APP0001775,CUST0000872,14346.42,6.92,12,2022-10-14,2023-10-14,Paid Off,1240.82
LOAN0000011,APP0002960,CUST0001625,48377.45,6.57,24,2023-08-11,2025-08-10,Paid Off,2156.56
LOAN0000012,APP0000470,CUST0000142,24971.56,11.11,12,2025-07-09,2026-07-09,Paid Off,2208.31
LOAN0000013,APP0001939,CUST0001977,6325.36,8.67,24,2026-03-14,2028-03-13,Delinquent,288.02
LOAN0000014,APP0000034,CUST0000402,3310.39,5.7,48,2021-10-05,2025-10-05,Paid Off,77.29
LOAN0000015,APP0001903,CUST0000458,26941.86,10.63,72,2025-02-03,2031-02-03,Active,507.72
LOAN0000016,APP0001040,CUST0001519,19100.13,7.1,24,2022-08-17,2024-08-16,Paid Off,856.03
LOAN0000017,APP0001850,CUST0001057,2331.47,14.48,60,2024-03-18,2029-03-18,Active,54.83
LOAN0000018,APP0001061,CUST0001061,45343.1,8.96,12,2022-08-25,2023-08-25,Paid Off,3964.48
LOAN0000019,APP0001062,CUST0000215,24241.87,7.39,36,2024-11-22,2027-11-22,Delinquent,752.85
LOAN0000020,APP0001800,CUST0000074,16439.62,9.65,36,2024-10-11,2027-10-11,Active,527.76
LOAN0000021,APP0001805,CUST0001063,57860.74,11.28,24,2026-06-27,2028-06-26,Active,2704.29
LOAN0000022,APP0001293,CUST0001424,3033.3,9.74,48,2025-01-14,2029-01-14,Active,76.55
LOAN0000023,APP0002491,CUST0000593,998.14,17.14,24,2024-08-21,2026-08-21,Paid Off,49.42
LOAN0000024,APP0000430,CUST0000409,26895.55,8.85,60,2023-10-16,2028-10-15,Delinquent,556.35
LOAN0000025,APP0000800,CUST0001897,4679.17,13.62,48,2025-04-26,2029-04-26,Active,126.98
LOAN0000026,APP0001316,CUST0000646,23830.92,5.55,60,2021-12-09,2026-12-09,Active,455.75
LOAN0000027,APP0002696,CUST0001479,2891.57,7.02,24,2025-06-14,2027-06-14,Active,129.49
LOAN0000028,APP0002438,CUST0001563,25862.99,8.5,36,2024-11-13,2027-11-13,Active,816.43
LOAN0000029,APP0002658,CUST0001341,6378.21,9.35,60,2023-06-11,2028-06-10,Active,133.49
LOAN0000030,APP0000821,CUST0000234,12539.5,10.39,36,2023-05-02,2026-05-01,Paid Off,406.91
LOAN0000031,APP0002908,CUST0001706,44336.02,6.79,48,2023-12-30,2027-12-30,Active,1057.37
LOAN0000032,APP0001408,CUST0001896,23573.37,6.84,36,2026-01-02,2029-01-01,Active,726.15
LOAN0000033,APP0001620,CUST0000870,15951.91,7.26,48,2024-09-11,2028-09-11,Active,383.92
LOAN0000034,APP0001481,CUST0000958,3944.29,5.32,48,2025-11-25,2029-11-25,Active,91.41
LOAN0000035,APP0000320,CUST0001053,7716.39,14.84,36,2025-01-14,2028-01-14,Delinquent,266.89
LOAN0000036,APP0002335,CUST0001972,54467.28,9.59,72,2024-09-05,2030-09-05,Active,997.83
LOAN0000037,APP0001351,CUST0000813,7953.91,9.08,60,2023-06-16,2028-06-15,Active,165.42
LOAN0000038,APP0002094,CUST0000173,8787.84,13.43,12,2022-08-02,2023-08-02,Paid Off,786.68
LOAN0000039,APP0001670,CUST0000727,25917.2,6.01,12,2023-02-21,2024-02-21,Paid Off,2230.72
LOAN0000040,APP0002876,CUST0001442,7695.74,6.26,60,2024-06-13,2029-06-13,Active,149.71
LOAN0000041,APP0002518,CUST0000349,54472.96,7.27,48,2022-06-02,2026-06-02,Paid Off,1311.26
LOAN0000042,APP0000216,CUST0000310,26928.1,,72,2023-10-08,2029-10-07,Active,475.96
LOAN0000043,APP0001437,CUST0000751,8322.58,5.9,48,2023-11-24,2027-11-24,Active,195.07
LOAN0000044,APP0001978,CUST0001525,30264.87,-8.73,24,2026-01-30,2028-01-30,Active,1378.9
LOAN0000045,APP0002528,CUST0001826,10666.31,9.96,12,2026-02-13,2027-02-13,Delinquent,937.54
LOAN0000046,APP0001772,CUST0000434,13532.97,8.71,48,2023-03-22,2027-03-22,Active,334.91
LOAN0000047,APP0000287,CUST0000173,,12.26,36,2026-06-17,2029-06-16,Active,188.82
LOAN0000048,APP0002812,CUST0000325,1377.97,14.58,72,2021-10-01,2027-10-01,Delinquent,28.82
LOAN0000049,APP0002425,CUST0001948,7977.44,9.16,60,2023-03-30,2028-03-29,Active,166.22
LOAN0000050,APP0001562,CUST0001199,9656.78,8.3,72,2022-06-18,2028-06-17,Active,170.73
LOAN0000051,APP0000855,CUST0000700,500.0,15.44,60,2023-06-10,2028-06-09,Active,12.01
LOAN0000052,APP0002976,CUST0000805,11986.39,6.97,48,2025-04-02,2029-04-02,Active,286.86
LOAN0000053,APP0001858,CUST0001996,994.24,13.99,48,2026-06-14,2030-06-14,Active,27.16
LOAN0000054,APP0000666,CUST0001080,14400.19,8.41,48,2022-02-02,2026-02-02,Paid Off,354.33
LOAN0000055,APP0001908,CUST0000204,51977.79,6.36,48,2024-02-09,2028-02-09,Active,1229.3
LOAN0000056,APP0001007,CUST0001678,56183.69,8.08,60,2022-04-03,2027-04-03,Active,1141.35
LOAN0000057,APP0000131,CUST0000148,10743.07,8.27,24,2021-12-05,2023-12-05,Paid Off,487.2
LOAN0000058,APP0001341,CUST0000179,17777.86,9.91,72,2024-05-28,2030-05-28,Active,328.54
LOAN0000059,APP0000820,CUST0001059,1768.27,15.16,48,2022-01-21,2026-01-21,Paid Off,49.36
LOAN0000060,APP0002415,CUST0000337,10116.07,7.32,36,2025-10-24,2028-10-23,Delinquent,313.84
LOAN0000061,APP0001521,CUST0000864,7102.75,9.75,24,2023-07-24,2025-07-23,Paid Off,326.94
LOAN0000062,APP0000941,CUST0000839,10071.51,8.93,24,2025-03-18,2027-03-18,Active,459.79
LOAN0000063,APP0001610,CUST0001300,32670.13,8.92,48,2025-08-02,2029-08-02,Active,811.76
LOAN0000064,APP0002794,CUST0000840,38744.26,6.19,24,2022-08-07,2024-08-06,Paid Off,1720.49
LOAN0000065,APP0002089,CUST0001778,6047.04,8.89,12,2023-06-22,2024-06-21,Paid Off,528.51
LOAN0000066,APP0000225,CUST0001729,3649.71,8.55,24,2026-05-03,2028-05-02,Active,165.98
LOAN0000067,APP0002776,CUST0000951,17783.66,5.71,36,2025-02-17,2028-02-17,Delinquent,538.68
LOAN0000068,APP0001464,CUST0000581,7181.04,8.38,84,2023-09-11,2030-09-10,Defaulted,113.29
LOAN0000069,APP0002449,CUST0001860,98745.75,7.4,48,2023-10-20,2027-10-20,Active,2382.96
LOAN0000070,APP0001668,CUST0001140,15889.35,-8.78,36,2024-04-20,2027-04-20,Active,503.65
LOAN0000071,APP0002611,CUST0000884,500.0,11.38,84,2024-04-25,2031-04-25,Active,8.66
LOAN0000072,APP0001736,CUST0000914,18223.44,7.91,36,2025-03-22,2028-03-21,Delinquent,570.3
LOAN0000073,APP0000909,CUST0001400,19541.76,9.34,84,2022-05-09,2029-05-08,Active,317.79
LOAN0000074,APP0002988,CUST0001925,19664.5,5.09,84,2021-11-10,2028-11-09,Active,278.77
LOAN0000075,APP0002366,CUST0001541,23675.78,7.71,60,2021-11-19,2026-11-19,Active,476.78
LOAN0000076,APP0001051,CUST0000812,4932.46,8.29,48,2024-06-30,2028-06-30,Active,121.09
LOAN0000077,APP0001798,CUST0000858,39401.18,6.89,60,2022-03-18,2027-03-18,Active,778.15
LOAN0000078,APP0001145,CUST0001904,5423.27,10.61,36,2025-01-02,2028-01-02,Active,176.55
LOAN0000079,APP0000057,CUST0000900,1417.55,8.88,36,2023-07-10,2026-07-09,Paid Off,45.0
LOAN0000080,APP0000125,CUST0001006,9647.92,8.41,24,2023-11-04,2025-11-03,Paid Off,438.16
LOAN0000081,APP0000209,CUST0000710,48057.02,6.17,24,2022-06-27,2024-06-26,Paid Off,2133.6
LOAN0000082,APP0000648,CUST0001125,30903.3,9.69,24,2024-04-02,2026-04-02,Paid Off,1421.61
LOAN0000083,APP0002946,CUST0001065,10537.92,7.72,72,2024-04-24,2030-04-24,Active,183.33
LOAN0000084,APP0002431,CUST0000347,17346.7,9.28,12,2022-08-13,2023-08-13,Paid Off,1519.25
LOAN0000085,APP0002439,CUST0001176,508.26,14.88,36,2025-07-22,2028-07-21,Active,17.59
LOAN0000086,APP0000729,CUST0001580,29891.15,6.84,36,2025-08-18,2028-08-17,Active,920.77
LOAN0000087,APP0002968,CUST0000704,2047.5,-15.17,36,2023-04-15,2026-04-14,Paid Off,71.15
LOAN0000088,APP0001172,CUST0002000,21622.56,8.95,72,2026-01-17,2032-01-17,Active,389.22
LOAN0000089,APP0000041,CUST0001673,5831.35,15.21,60,2022-06-04,2027-06-04,Active,139.37
LOAN0000090,APP0002595,CUST0001002,19088.38,9.97,48,2023-04-08,2027-04-08,Active,483.86
LOAN0000091,APP0001708,CUST0001744,9379.55,8.75,60,2025-07-27,2030-07-27,Delinquent,193.57
LOAN0000092,APP0001516,CUST0000456,3823.09,,60,2022-08-06,2027-08-06,Active,81.57
LOAN0000093,APP0001298,CUST0001427,14161.56,10.81,36,2026-05-25,2029-05-24,Active,462.36
LOAN0000094,APP0002352,CUST0000095,8870.4,9.19,36,2022-06-01,2025-05-31,Paid Off,282.86
LOAN0000095,APP0000543,CUST0000154,26966.01,6.99,24,2024-11-17,2026-11-17,Active,1207.22
LOAN0000096,APP0000186,CUST0001560,5488.19,8.79,24,2025-09-05,2027-09-05,Active,250.2
LOAN0000097,APP0001143,CUST0001203,3161.67,7.01,72,2023-07-25,2029-07-24,Active,53.92
LOAN0000098,APP0002564,CUST0001059,1608.69,15.36,60,2025-09-15,2030-09-15,Active,38.58
LOAN0000099,APP0000707,CUST0001443,39331.72,,36,2026-05-15,2029-05-14,Active,1243.06
