payment_id,loan_id,customer_id,due_date,payment_date,amount_due,amount_paid,days_late,payment_status
PAY0000001,LOAN0000119,CUST0001120,2025-07-19,2025-07-18,44.66,44.66,0.0,On-time
PAY0000002,LOAN0000279,CUST0000453,2023-06-21,2023-06-19,458.01,458.01,0.0,On-time
PAY0000003,LOAN0000158,CUST0001909,2026-07-24,2026-07-22,324.28,324.28,0.0,On-time
PAY0000004,LOAN0000330,CUST0000984,2026-04-30,2026-04-30,50.09,50.09,0.0,On-time
PAY0000005,LOAN0001013,CUST0001164,2022-07-02,2022-06-30,319.77,319.77,0.0,On-time
PAY0000006,LOAN0000760,CUST0000009,2026-03-23,2026-03-23,73.92,73.92,0.0,On-time
PAY0000007,LOAN0000919,CUST0000935,2025-04-15,2025-04-15,1262.22,1262.22,0.0,On-time
PAY0000008,LOAN0000729,CUST0001396,2023-10-19,,606.11,0.0,,Missed
PAY0000009,LOAN0000685,CUST0000180,2026-05-26,2026-05-31,1563.45,1563.45,5.0,Late
PAY0000010,LOAN0000732,CUST0000308,2022-03-19,2022-03-18,1784.9,1784.9,0.0,On-time
PAY0000011,LOAN0001073,CUST0000684,2026-02-07,,823.03,0.0,,Missed
PAY0000012,LOAN0000076,CUST0000812,2025-07-31,2025-07-29,121.09,121.09,0.0,On-time
PAY0000013,LOAN0000408,CUST0000950,2022-03-27,2022-03-27,319.49,319.49,0.0,On-time
PAY0000014,LOAN0001113,CUST0001322,2024-09-18,2024-09-18,52.18,52.18,0.0,On-time
PAY0000015,LOAN0000151,CUST0000362,2022-05-19,2022-05-17,902.21,902.21,0.0,On-time
PAY0000016,LOAN0000183,CUST0001313,2026-02-02,2026-02-24,75.72,75.72,22.0,Late
PAY0000017,LOAN0000167,CUST0000249,2023-01-28,2023-02-13,199.71,199.71,16.0,Late
PAY0000018,LOAN0000785,CUST0000062,2026-03-22,2026-03-22,1154.27,1154.27,0.0,On-time
PAY0000019,LOAN0000685,CUST0000180,2023-12-25,,1563.45,0.0,,Missed
PAY0000020,LOAN0000252,CUST0000782,2025-10-03,2025-10-05,99.35,99.35,2.0,Late
PAY0000021,LOAN0000645,CUST0001591,2024-06-20,,99.32,0.0,,Missed
PAY0000022,LOAN0001122,CUST0001214,2024-11-08,2024-11-07,104.22,104.22,0.0,On-time
PAY0000023,LOAN0000071,CUST0000884,2024-09-24,2024-09-24,8.66,8.66,0.0,On-time
PAY0000024,LOAN0000454,CUST0000718,2026-08-21,2026-08-20,428.79,428.79,0.0,On-time
PAY0000025,LOAN0001073,CUST0000684,2026-03-10,2026-03-10,823.03,823.03,0.0,On-time
PAY0000026,LOAN0000744,CUST0001281,2026-07-29,2026-07-29,433.33,433.33,0.0,On-time
PAY0000027,LOAN0001050,CUST0001116,2026-02-22,2026-02-20,548.35,-548.35,0.0,On-time
PAY0000028,LOAN0000404,CUST0000835,2025-11-26,2025-12-24,858.73,858.73,28.0,Late
PAY0000029,LOAN0000640,CUST0001190,2025-01-25,2025-01-24,18.91,18.91,0.0,On-time
PAY0000030,LOAN0000195,CUST0001634,2025-03-10,2025-03-09,269.71,269.71,0.0,On-time
PAY0000031,LOAN0000365,CUST0001133,2024-06-03,2024-07-16,337.81,337.81,43.0,Late
PAY0000032,LOAN0000393,CUST0001043,2025-08-12,2025-08-10,46.48,46.48,0.0,On-time
PAY0000033,LOAN0000724,CUST0000474,2022-07-05,2022-07-03,720.73,720.73,0.0,On-time
PAY0000034,LOAN0000552,CUST0000128,2026-08-23,2026-09-23,600.46,600.46,31.0,Late
PAY0000035,LOAN0001131,CUST0001544,2024-09-23,,274.11,,,Missed
PAY0000036,LOAN0000041,CUST0000349,2023-01-01,2023-01-01,1311.26,1311.26,0.0,OK
PAY0000037,LOAN0001071,CUST0001010,2026-08-17,,88.07,0.0,,Missed
PAY0000038,LOAN0000879,CUST0001635,2026-01-13,2026-02-25,409.13,409.13,43.0,Late
PAY0000039,LOAN0000140,CUST0001591,2026-06-08,2026-06-08,576.58,251.11,0.0,Partial
PAY0000040,LOAN0000081,CUST0000710,2023-12-27,2023-12-26,2133.6,2133.6,0.0,On-time
PAY0000041,LOAN0001158,CUST0001111,2026-02-28,2026-03-30,117.55,117.55,30.0,Late
PAY0000042,LOAN0001043,CUST0001235,2023-11-09,2023-11-08,304.01,304.01,0.0,On-time
PAY0000043,LOAN0000040,CUST0001442,2026-04-14,2026-04-12,149.71,149.71,0.0,On-time
PAY0000044,LOAN0000812,CUST0000171,2026-05-17,2026-05-17,74.22,74.22,0.0,On-time
PAY0000045,LOAN0000175,CUST0001318,2024-03-23,2024-03-23,123.45,123.45,0.0,On-time
PAY0000046,LOAN0000901,CUST0001641,2026-02-12,2026-02-11,858.27,722.02,0.0,Partial
PAY0000047,LOAN0000320,CUST0001682,2024-07-14,,299.82,0.0,,Missed
PAY0000048,LOAN0000133,CUST0001132,2026-06-13,,1569.32,0.0,,Missed
PAY0000049,LOAN0000844,CUST0000514,2024-09-23,2024-09-22,612.02,612.02,0.0,On-time
PAY0000050,LOAN0000438,CUST0000620,2023-01-26,2023-01-26,6443.74,6443.74,0.0,ON-TIME
