credit_history_id,customer_id,record_date,credit_score,total_outstanding_debt,credit_utilization,number_of_open_accounts,number_of_closed_accounts,previous_defaults,previous_late_payments
CRHIST0000001,CUST0000001,2020-07-19,703.0,6703.19,0.3678,4,3,0,1
CRHIST0000002,CUST0000001,2022-04-09,702.0,8852.51,0.6169,2,3,0,1
CRHIST0000003,CUST0000001,2022-11-06,710.0,2602.27,0.2362,2,0,0,1
CRHIST0000004,CUST9325848,2023-12-25,,7502.52,0.6943,1,1,0,1
CRHIST0000005,CUST0000001,2024-02-11,739.0,1908.22,0.109,1,4,0,1
CRHIST0000006,CUST0000002,2023-12-23,613.0,1666.43,0.243,3,4,0,0
CRHIST0000007,CUST0000002,2024-05-16,618.0,1903.36,0.2273,0,3,0,0
CRHIST0000008,CUST0000003,2026-02-22,639.0,5717.47,0.8366,7,0,0,1
CRHIST0000009,CUST0000003,2026-03-06,650.0,1421.77,0.1867,7,3,0,1
CRHIST0000010,CUST0000003,2026-04-03,677.0,798.12,0.1258,3,0,0,1
CRHIST0000011,CUST0000004,2024-10-15,676.0,7861.75,0.3968,9,2,0,0
CRHIST0000012,CUST0000004,2024-11-08,662.0,21062.36,0.5221,4,0,0,0
CRHIST0000013,CUST0000005,2022-03-07,693.0,11617.52,0.496,2,2,0,0
CRHIST0000014,CUST0000006,2020-05-27,700.0,11179.34,0.3642,1,2,0,0
CRHIST0000015,CUST0000006,2021-03-08,694.0,15168.28,0.6915,1,2,0,0
CRHIST0000016,CUST0000007,2024-09-05,618.0,10376.4,0.5835,3,0,0,2
CRHIST0000017,CUST0000008,2024-11-22,619.0,4767.77,0.606,6,2,0,0
CRHIST0000018,CUST0000008,2024-12-28,615.0,2898.98,0.3586,2,3,0,0
CRHIST0000019,CUST0000009,2022-02-04,647.0,17895.63,0.533,7,2,0,0
CRHIST0000020,CUST0000010,2026-04-18,680.0,1715.92,0.058,6,2,0,0
CRHIST0000021,CUST0000010,2026-05-25,670.0,16783.15,0.6035,1,2,0,0
CRHIST0000022,CUST0000011,2025-12-16,703.0,7077.49,0.6179,3,2,0,0
CRHIST0000023,CUST0000011,2025-12-21,702.0,4107.83,0.3268,4,2,0,0
CRHIST0000024,CUST0000012,2024-10-08,553.0,998.4,0.3306,6,3,0,0
CRHIST0000025,CUST0000012,2024-11-06,559.0,1145.56,0.5574,1,0,0,0
CRHIST0000026,CUST0000013,2025-04-13,702.0,12882.21,0.4547,4,1,0,0
CRHIST0000027,CUST0000013,2025-05-19,703.0,3817.38,0.121,2,3,0,0
