issue_id,entity,record_id,issue_type,issue_description,severity,injected_at
1,customers,CUST0000036,missing_annual_income,annual_income was set to NULL (simulated missing operational data),medium,2026-08-24
2,customers,CUST0000039,missing_annual_income,annual_income was set to NULL (simulated missing operational data),medium,2026-08-24
3,customers,CUST0000060,missing_annual_income,annual_income was set to NULL (simulated missing operational data),medium,2026-08-24
4,customers,CUST0000065,missing_annual_income,annual_income was set to NULL (simulated missing operational data),medium,2026-08-24
5,customers,CUST0000153,missing_annual_income,annual_income was set to NULL (simulated missing operational data),medium,2026-08-24
6,customers,CUST0000157,missing_annual_income,annual_income was set to NULL (simulated missing operational data),medium,2026-08-24
7,customers,CUST0000191,missing_annual_income,annual_income was set to NULL (simulated missing operational data),medium,2026-08-24
8,customers,CUST0000224,missing_annual_income,annual_income was set to NULL (simulated missing operational data),medium,2026-08-24
9,customers,CUST0000410,missing_annual_income,annual_income was set to NULL (simulated missing operational data),medium,2026-08-24
10,customers,CUST0000417,missing_annual_income,annual_income was set to NULL (simulated missing operational data),medium,2026-08-24
11,customers,CUST0000519,missing_annual_income,annual_income was set to NULL (simulated missing operational data),medium,2026-08-24
12,customers,CUST0000537,missing_annual_income,annual_income was set to NULL (simulated missing operational data),medium,2026-08-24
13,customers,CUST0000559,missing_annual_income,annual_income was set to NULL (simulated missing operational data),medium,2026-08-24
14,customers,CUST0000584,missing_annual_income,annual_income was set to NULL (simulated missing operational data),medium,2026-08-24
15,customers,CUST0000660,missing_annual_income,annual_income was set to NULL (simulated missing operational data),medium,2026-08-24
16,customers,CUST0000668,missing_annual_income,annual_income was set to NULL (simulated missing operational data),medium,2026-08-24
17,customers,CUST0000695,missing_annual_income,annual_income was set to NULL (simulated missing operational data),medium,2026-08-24
18,customers,CUST0000715,missing_annual_income,annual_income was set to NULL (simulated missing operational data),medium,2026-08-24
19,customers,CUST0000726,missing_annual_income,annual_income was set to NULL (simulated missing operational data),medium,2026-08-24
20,customers,CUST0000834,missing_annual_income,annual_income was set to NULL (simulated missing operational data),medium,2026-08-24
21,customers,CUST0000023,missing_employment_status,employment_status was set to NULL (simulated missing operational data),medium,2026-08-24
22,customers,CUST0000033,missing_employment_status,employment_status was set to NULL (simulated missing operational data),medium,2026-08-24
23,customers,CUST0000161,missing_employment_status,employment_status was set to NULL (simulated missing operational data),medium,2026-08-24
