loan_id,person_id,application_date,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
LN-10000,P-101171,2023-06-07,EDUCATION,D,15658,16.2,0,0.5537,N,2
LN-10001,P-101325,2024-11-28,DEBTCONSOLIDATION,A,6187,7.78,0,0.2563,N,11
LN-10002,P-100838,2024-06-22,DEBTCONSOLIDATION,B,8375,8.71,0,0.2739,N,12
LN-10003,P-100018,2024-03-31,EDUCATION,B,11858,11.33,0,0.1728,Y,7
LN-10004,P-101231,2023-12-09,HOMEIMPROVEMENT,D,5202,16.02,1,0.1888,N,14
LN-10005,P-100625,2024-10-28,MEDICAL,C,13297,13.68,0,0.3681,N,2
LN-10006,P-100867,2023-09-11,VENTURE,E,8202,17.68,0,0.1836,N,12
LN-10007,P-100516,2024-04-21,HOMEIMPROVEMENT,A,5347,6.27,0,0.1643,N,11
LN-10008,P-101277,2023-08-22,HOMEIMPROVEMENT,B,7155,10.31,0,0.129,Y,10
LN-10009,P-101356,2024-06-11,HOMEIMPROVEMENT,F,24709,19.84,1,0.6667,N,2
LN-10010,P-101325,2023-08-29,DEBTCONSOLIDATION,C,6590,15.21,0,0.273,N,12
LN-10011,P-100221,2024-06-05,MEDICAL,B,500,11.71,0,0.0044,N,2
LN-10012,P-101311,2023-04-21,DEBTCONSOLIDATION,B,18616,5.51,0,0.3536,N,2
LN-10013,P-101456,2024-09-05,EDUCATION,F,12176,21.57,1,0.4002,N,10
LN-10014,P-100307,2023-09-26,PERSONAL,B,7029,7.15,1,0.1234,N,13
LN-10015,P-101228,2024-11-27,EDUCATION,B,500,7.77,0,0.0073,N,2
LN-10016,P-101477,2024-11-30,MEDICAL,A,9765,8.21,0,0.2146,N,11
LN-10017,P-100531,2023-11-21,DEBTCONSOLIDATION,E,6211,17.19,1,0.1993,N,6
LN-10018,P-100072,2023-12-30,EDUCATION,C,9544,13.3,0,0.0831,N,6
LN-10019,P-100702,2024-04-06,HOMEIMPROVEMENT,D,11217,17.3,0,0.1612,N,9
LN-10020,P-101307,2024-06-24,DEBTCONSOLIDATION,D,8382,14.34,0,0.1223,N,9
LN-10021,P-100734,2024-08-04,DEBTCONSOLIDATION,B,9669,9.95,1,0.2125,N,5
LN-10022,P-101143,2023-06-24,EDUCATION,A,500,8.19,0,0.0096,Y,5
LN-10023,P-101517,2023-07-30,EDUCATION,A,20872,6.82,0,0.7709,N,3
LN-10024,P-101392,2023-12-14,EDUCATION,E,500,20.26,1,0.0058,N,3
LN-10025,P-100727,2023-04-21,VENTURE,A,20367,6.87,0,0.739,N,15
LN-10026,P-100678,2024-03-11,VENTURE,B,13453,14.46,0,0.1344,N,4
LN-10027,P-100241,2024-01-20,HOMEIMPROVEMENT,B,500,10.0,0,0.0041,N,10
