payment_id,loan_id,due_date,amount_due,amount_paid,payment_status
1,LN-11358,2023-12-17,735.33,735.33,PAID
2,LN-11358,2024-01-16,735.33,735.33,PAID
3,LN-11358,2024-02-15,735.33,735.33,PAID
4,LN-11598,2023-06-20,1317.4,1317.4,PAID
5,LN-11598,2023-07-20,1317.4,1317.4,PAID
6,LN-11598,2023-08-19,1317.4,1317.4,PAID
7,LN-11598,2023-09-18,1317.4,1317.4,PAID
8,LN-11598,2023-10-18,1317.4,1317.4,PAID
9,LN-11363,2023-11-28,1618.4,0.0,MISSED
10,LN-11363,2023-12-28,1618.4,1618.4,PAID
11,LN-11363,2024-01-27,1618.4,1618.4,PAID
12,LN-11363,2024-02-26,1618.4,1618.4,PAID
13,LN-11363,2024-03-27,1618.4,1618.4,PAID
14,LN-10503,2023-06-16,5471.0,5471.0,PAID
15,LN-10503,2023-07-16,5471.0,5471.0,PAID
16,LN-10503,2023-08-15,5471.0,4291.76,PARTIAL
17,LN-10988,2024-05-22,2031.0,2031.0,PAID
18,LN-10988,2024-06-21,2031.0,0.0,MISSED
19,LN-10988,2024-07-21,2031.0,2031.0,PAID
20,LN-10988,2024-08-20,2031.0,996.55,LATE
21,LN-10988,2024-09-19,2031.0,2031.0,PAID
22,LN-10988,2024-10-19,2031.0,2031.0,PAID
23,LN-10988,2024-11-18,2031.0,1216.96,LATE
24,LN-10988,2024-12-18,2031.0,1122.62,PARTIAL
25,LN-10666,2024-07-04,2461.67,2461.67,PAID
26,LN-10666,2024-08-03,2461.67,2461.67,PAID
27,LN-10666,2024-09-02,2461.67,2461.67,PAID
28,LN-10557,2024-11-14,4821.5,4821.5,PAID
29,LN-10557,2024-12-14,4821.5,4821.5,PAID
30,LN-10557,2025-01-13,4821.5,4821.5,PAID
31,LN-10557,2025-02-12,4821.5,4304.5,LATE
32,LN-10680,2024-01-18,1601.0,1601.0,PAID
33,LN-10680,2024-02-17,1601.0,867.24,LATE
34,LN-10680,2024-03-18,1601.0,0.0,MISSED
35,LN-10680,2024-04-17,1601.0,0.0,MISSED
36,LN-10680,2024-05-17,1601.0,1601.0,PAID
37,LN-10680,2024-06-16,1601.0,1601.0,PAID
38,LN-10929,2024-12-14,2899.0,2899.0,PAID
39,LN-10929,2025-01-13,2899.0,1591.69,LATE
40,LN-10929,2025-02-12,2899.0,2899.0,PAID
41,LN-11371,2023-08-29,903.0,487.81,LATE
42,LN-11371,2023-09-28,903.0,903.0,PAID
43,LN-11371,2023-10-28,903.0,903.0,PAID
44,LN-11371,2023-11-27,903.0,903.0,PAID
45,LN-11371,2023-12-27,903.0,903.0,PAID
46,LN-11491,2023-10-20,1015.25,605.09,PARTIAL
47,LN-11491,2023-11-19,1015.25,1015.25,PAID
48,LN-11491,2023-12-19,1015.25,0.0,MISSED
49,LN-11491,2024-01-18,1015.25,875.78,LATE
