assessment_id,customer_id,loan_id,assessment_date,risk_score,probability_of_default,risk_category,model_version
RISK0000001,CUST0000670,LOAN0000001,2024-09-13,712,0.0478,LOW,synthetic-pd-v1.0
RISK0000002,CUST0001496,LOAN0000002,2022-12-22,630,0.2332,MEDIUM,synthetic-pd-v1.0
RISK0000003,CUST0001611,LOAN0000003,2025-04-30,688,0.0782,LOW,synthetic-pd-v1.0
RISK0000004,CUST0000109,LOAN0000004,2024-03-10,607,0.3335,HIGH,synthetic-pd-v1.0
RISK0000005,CUST0001873,LOAN0000005,2021-09-30,670,0.1128,MEDIUM,synthetic-pd-v1.0
RISK0000006,CUST0001607,LOAN0000006,2026-05-17,627,0.2415,MEDIUM,synthetic-pd-v1.0
RISK0000007,CUST0001095,LOAN0000007,2025-12-13,710,0.0505,LOW,synthetic-pd-v1.0
RISK0000008,CUST0000149,LOAN0000008,2026-08-29,711,0.0491,LOW,synthetic-pd-v1.0
RISK0000009,CUST0001784,LOAN0000009,2023-08-14,656,0.1458,MEDIUM,synthetic-pd-v1.0
RISK0000010,CUST0000872,LOAN0000010,2022-10-14,694,0.0699,LOW,synthetic-pd-v1.0
RISK0000011,CUST0001625,LOAN0000011,2023-08-09,642,0.1876,MEDIUM,synthetic-pd-v1.0
RISK0000012,CUST0000142,LOAN0000012,2025-07-09,617,0.2849,MEDIUM,synthetic-pd-v1.0
RISK0000013,CUST0001977,LOAN0000013,2026-03-11,717,0.0434,LOW,synthetic-pd-v1.0
RISK0000014,CUST0000402,LOAN0000014,2021-10-05,797,0.0079,LOW,synthetic-pd-v1.0
RISK0000015,CUST0000458,LOAN0000015,2025-02-03,730,0.033,LOW,synthetic-pd-v1.0
RISK0000016,CUST0001519,LOAN0000016,2022-08-15,755,0.0195,LOW,synthetic-pd-v1.0
RISK0000017,CUST0001057,LOAN0000017,2024-03-18,509,0.8088,HIGH,synthetic-pd-v1.0
RISK0000018,CUST0001061,LOAN0000018,2022-08-22,684,0.085,LOW,synthetic-pd-v1.0
RISK0000019,CUST0000215,LOAN0000019,2024-11-22,743,0.0249,LOW,synthetic-pd-v1.0
RISK0000020,CUST0000074,LOAN0000020,2024-10-10,675,0.1012,LOW,synthetic-pd-v1.0
RISK0000021,CUST0001063,LOAN0000021,2026-06-27,754,0.0199,LOW,synthetic-pd-v1.0
RISK0000022,CUST0001424,LOAN0000022,2025-01-11,683,0.0865,LOW,synthetic-pd-v1.0
RISK0000023,CUST0000593,LOAN0000023,2024-08-19,586,0.4395,HIGH,synthetic-pd-v1.0
RISK0000024,CUST0000409,LOAN0000024,2023-10-13,650,0.1622,MEDIUM,synthetic-pd-v1.0
RISK0000025,CUST0001897,LOAN0000025,2025-04-23,686,0.0812,LOW,synthetic-pd-v1.0
RISK0000026,CUST0000646,LOAN0000026,2021-12-07,727,0.0352,LOW,synthetic-pd-v1.0
RISK0000027,CUST0001479,LOAN0000027,2025-06-12,745,0.0239,LOW,synthetic-pd-v1.0
RISK0000028,CUST0001563,LOAN0000028,2024-11-13,710,0.05,LOW,synthetic-pd-v1.0
RISK0000029,CUST0001341,LOAN0000029,2023-06-10,706,0.0539,LOW,synthetic-pd-v1.0
RISK0000030,CUST0000234,LOAN0000030,2023-05-02,701,0.0602,LOW,synthetic-pd-v1.0
RISK0000031,CUST0001706,LOAN0000031,2023-12-27,756,0.0189,LOW,synthetic-pd-v1.0
RISK0000032,CUST0001896,LOAN0000032,2026-01-02,735,0.0297,LOW,synthetic-pd-v1.0
RISK0000033,CUST0000870,LOAN0000033,2024-09-11,681,0.0901,LOW,synthetic-pd-v1.0
RISK0000034,CUST0000958,LOAN0000034,2025-11-25,800,0.0074,LOW,synthetic-pd-v1.0
RISK0000035,CUST0001053,LOAN0000035,2025-01-13,564,0.5588,HIGH,synthetic-pd-v1.0
RISK0000036,CUST0001972,LOAN0000036,2024-09-03,693,0.0712,LOW,synthetic-pd-v1.0
