assessment_id,customer_id,loan_id,assessment_date,risk_score,probability_of_default,risk_category,model_version
RISK0000001,CUST0000112,LOAN0000001,2026-03-09,761,0.0171,LOW,synthetic-pd-v1.0
RISK0000002,CUST0000552,LOAN0000002,2023-09-01,505,0.823,HIGH,synthetic-pd-v1.0
RISK0000003,CUST0000556,LOAN0000003,2025-02-11,725,0.0366,LOW,synthetic-pd-v1.0
RISK0000004,CUST0000293,LOAN0000004,2023-06-10,695,0.0683,LOW,synthetic-pd-v1.0
RISK0000005,CUST0000678,LOAN0000005,2025-03-30,643,0.1836,MEDIUM,synthetic-pd-v1.0
RISK0000006,CUST0000969,LOAN0000006,2026-06-22,656,0.146,MEDIUM,synthetic-pd-v1.0
RISK0000007,CUST0000718,LOAN0000007,2025-01-09,702,0.0595,LOW,synthetic-pd-v1.0
RISK0000008,CUST0000974,LOAN0000008,2024-05-07,476,0.8971,HIGH,synthetic-pd-v1.0
RISK0000009,CUST0000316,LOAN0000009,2023-06-04,706,0.0547,LOW,synthetic-pd-v1.0
RISK0000010,CUST0000577,LOAN0000010,2023-01-11,621,0.2699,MEDIUM,synthetic-pd-v1.0
RISK0000011,CUST0000175,LOAN0000011,2026-06-28,702,0.0594,LOW,synthetic-pd-v1.0
RISK0000012,CUST0000725,LOAN0000012,2022-03-22,668,0.1151,MEDIUM,synthetic-pd-v1.0
RISK0000013,CUST0000091,LOAN0000013,2024-08-31,706,0.0541,LOW,synthetic-pd-v1.0
RISK0000014,CUST0000247,LOAN0000014,2026-08-27,677,0.0977,MEDIUM,synthetic-pd-v1.0
RISK0000015,CUST0000311,LOAN0000015,2025-10-03,717,0.043,LOW,synthetic-pd-v1.0
RISK0000016,CUST0000359,LOAN0000016,2024-03-12,689,0.0773,LOW,synthetic-pd-v1.0
RISK0000017,CUST0000733,LOAN0000017,2022-02-18,793,0.0086,LOW,synthetic-pd-v1.0
RISK0000018,CUST0000266,LOAN0000018,2026-05-08,721,0.0399,LOW,synthetic-pd-v1.0
RISK0000019,CUST0000441,LOAN0000019,2022-01-26,700,0.0611,LOW,synthetic-pd-v1.0
RISK0000020,CUST0000574,LOAN0000020,2024-04-25,779,0.0116,LOW,synthetic-pd-v1.0
RISK0000021,CUST0000826,LOAN0000021,2024-04-18,646,0.1757,MEDIUM,synthetic-pd-v1.0
RISK0000022,CUST0000637,LOAN0000022,2021-12-23,685,0.0839,LOW,synthetic-pd-v1.0
RISK0000023,CUST0000556,LOAN0000023,2025-01-21,771,0.0136,LOW,synthetic-pd-v1.0
RISK0000024,CUST0000510,LOAN0000024,2025-12-27,741,0.0261,LOW,synthetic-pd-v1.0
RISK0000025,CUST0000636,LOAN0000025,2025-02-28,569,0.534,HIGH,synthetic-pd-v1.0
RISK0000026,CUST0000233,LOAN0000026,2023-06-15,665,0.1229,MEDIUM,synthetic-pd-v1.0
RISK0000027,CUST0000457,LOAN0000027,2021-11-20,708,0.0522,LOW,synthetic-pd-v1.0
RISK0000028,CUST0000016,LOAN0000028,2022-10-20,796,0.0079,LOW,synthetic-pd-v1.0
RISK0000029,CUST0000434,LOAN0000029,2025-04-15,580,0.4711,HIGH,synthetic-pd-v1.0
RISK0000030,CUST0000694,LOAN0000030,2025-07-05,577,0.4899,HIGH,synthetic-pd-v1.0
RISK0000031,CUST0000787,LOAN0000031,2022-03-18,681,0.0893,MEDIUM,synthetic-pd-v1.0
RISK0000032,CUST0000569,LOAN0000032,2025-01-14,736,0.0287,LOW,synthetic-pd-v1.0
RISK0000033,CUST0000373,LOAN0000033,2023-02-18,615,0.2956,MEDIUM,synthetic-pd-v1.0
RISK0000034,CUST0000621,LOAN0000034,2022-01-10,711,0.0494,LOW,synthetic-pd-v1.0
RISK0000035,CUST0000788,LOAN0000035,2022-07-04,556,0.6045,HIGH,synthetic-pd-v1.0
RISK0000036,CUST0000435,LOAN0000036,2026-04-07,575,0.4986,HIGH,synthetic-pd-v1.0
RISK0000037,CUST0000595,LOAN0000037,2025-12-07,604,0.3459,HIGH,synthetic-pd-v1.0
RISK0000038,CUST0000515,LOAN0000038,2025-08-15,699,0.0628,LOW,synthetic-pd-v1.0
RISK0000039,CUST0000941,LOAN0000039,2023-03-26,703,0.0574,LOW,synthetic-pd-v1.0
RISK0000040,CUST0000456,LOAN0000040,2026-04-10,728,0.0342,LOW,synthetic-pd-v1.0
RISK0000041,CUST0000778,LOAN0000041,2023-05-10,744,0.0243,LOW,synthetic-pd-v1.0
