application_id,customer_id,application_date,requested_amount,loan_purpose,application_status,application_channel,decision_date
APP0000001,CUST0000289,2026-07-06,2784.31,Wedding,Approved,Branch,2026-07-15
APP0000002,CUST0000451,2022-07-29,41682.75,Wedding,Approved,Branch,2022-08-07
APP0000003,CUST0000443,2024-08-21,14508.4,Personal,Pending,Partner Referral,2026-08-24
APP0000004,CUST0000313,2023-02-18,13383.64,Medical,Rejected,Mobile App,2023-02-25
APP0000005,CUST0000019,2023-12-21,2674.42,Home Improvement,Withdrawn,Branch,2023-12-26
APP0000006,CUST0000074,2022-11-19,66565.17,,Rejected,Online,2022-11-22
APP0000007,CUST0000523,2024-06-28,8799.96,Home Improvement,Rejected,Online,2024-07-09
APP0000008,CUST0000225,2024-06-08,15337.23,Personal,Approved,Online,2024-06-27
APP0000009,CUST0000328,2024-09-25,23939.41,Wedding,Approved,Online,2024-10-04
APP0000010,CUST0000091,2023-03-10,45351.88,Wedding,Rejected,Online,2023-03-23
APP0000011,CUST0000050,2024-07-17,28915.92,,Rejected,Branch,2024-07-31
APP0000012,CUST0000127,2025-04-17,4212.31,Personal,Approved,Mobile App,2025-05-04
APP0000013,CUST0000378,2025-03-31,34277.61,Personal,Pending,Online,2026-08-24
APP0000014,CUST0000164,2024-06-27,56692.8,Wedding,Rejected,Mobile App,2024-07-16
APP0000015,CUST0000232,2023-02-22,5878.72,Auto,Approved,Call Center,2023-03-11
APP0000016,CUST0000303,2024-04-22,23330.53,Business,Pending,Online,2026-08-24
APP0000017,CUST0000292,2024-05-01,9911.59,Personal,Rejected,Mobile App,2024-05-21
APP0000018,CUST9406783,2026-05-28,2812.5,Home Improvement,Rejected,Online,2026-06-12
APP0000019,CUST0000118,2023-07-14,2575.39,Home Improvement,Approved,Branch,2023-07-24
APP0000020,CUST0000951,2023-04-05,6506.98,Medical,Approved,Mobile App,2023-04-12
APP0000021,CUST0000668,2025-05-25,31683.3,Auto,Approved,Online,2025-06-06
APP0000022,CUST0000124,2024-10-28,33904.08,Personal,Rejected,Online,2024-11-14
APP0000023,CUST0000284,2023-10-13,29507.33,Wedding,Rejected,Call Center,2023-10-29
APP0000024,CUST0000384,2021-08-25,15527.95,Home Improvement,Withdrawn,Online,2021-09-05
APP0000025,CUST0000906,2025-03-04,16221.76,Auto,Pending,Mobile App,2026-08-24
APP0000026,CUST0000880,2025-05-01,13925.74,Wedding,Approved,Mobile App,2025-05-07
APP0000027,CUST0000771,2026-04-19,12934.51,Education,Withdrawn,Online,2026-05-01
APP0000028,CUST0000107,2024-02-28,70756.57,Home Improvement,Approved,Mobile App,2024-03-07
APP0000029,CUST0000491,2024-03-22,19012.81,Education,Approved,Branch,2024-04-01
APP0000030,CUST0000484,2022-09-09,6714.01,Wedding,Rejected,Online,2022-09-16
APP0000031,CUST0000638,2023-12-12,1064.96,Auto,Pending,Partner Referral,2026-08-24
APP0000032,CUST0000845,2021-08-27,3004.9,Medical,Withdrawn,Branch,2021-09-06
APP0000033,CUST0000321,2024-02-25,23448.19,Education,Rejected,Mobile App,2024-03-05
APP0000034,CUST0000557,2025-03-07,23028.79,Personal,Approved,Online,2025-03-23
APP0000035,CUST0000264,2025-07-30,5415.3,Education,Approved,Online,2025-08-02
APP0000036,CUST0000211,2024-12-17,22875.81,Wedding,Approved,Mobile App,2024-12-27
APP0000037,CUST0000314,2025-09-03,24346.48,Personal,Rejected,Mobile App,2025-09-21
APP0000038,CUST0000736,2024-12-22,2633.53,Medical,Approved,Online,2024-12-28
APP0000039,CUST0000438,2025-07-18,9510.33,Medical,Approved,Mobile App,2025-07-25
APP0000040,CUST0000682,2023-11-01,55814.9,Business,Rejected,Branch,2023-11-03
APP0000041,CUST0000692,2024-08-28,29745.53,Debt Consolidation,Rejected,Online,2024-09-09
APP0000042,CUST0000363,2024-11-04,29928.63,Home Improvement,Rejected,Mobile App,2024-11-22
APP0000043,CUST0000956,2024-07-05,31699.41,Home Improvement,Rejected,Mobile App,2024-07-15
APP0000044,CUST0000047,2024-07-03,4288.82,Personal,Rejected,Branch,2024-07-12
APP0000045,CUST0000897,2025-07-22,5257.58,Personal,Rejected,Mobile App,2025-08-06
APP0000046,CUST0000008,2022-11-04,2959.87,Personal,Rejected,Branch,2022-11-13
APP0000047,CUST0000383,2023-03-26,54160.85,Debt Consolidation,Approved,Partner Referral,2023-04-03
APP0000048,CUST0000826,2024-03-29,1859.52,Auto,Approved,Mobile App,2024-04-14
APP0000049,CUST0000685,2024-11-15,41403.31,Auto,Withdrawn,Online,2024-11-21
APP0000050,CUST0000322,2024-03-21,22190.33,Debt Consolidation,Rejected,Branch,2024-04-07
APP0000051,CUST0000886,2022-08-24,48355.59,Auto,Approved,Partner Referral,2022-08-30
