loan_id,application_id,customer_id,loan_amount,interest_rate,term_months,start_date,maturity_date,loan_status,monthly_payment
LOAN0000001,APP0001156,CUST0000112,5400.06,9.78,24,2026-03-09,2028-03-08,Active,248.64
LOAN0000002,APP0001271,CUST0000552,1075.56,16.55,36,2023-09-01,2026-08-31,Active,38.11
LOAN0000003,APP0000915,CUST0000556,56835.22,12.68,36,2025-02-12,2028-02-12,Active,1906.25
LOAN0000004,APP0001110,CUST0000293,8111.51,10.57,12,2023-06-13,2024-06-12,Paid Off,715.28
LOAN0000005,APP0000865,CUST0000678,753.01,14.51,36,2025-03-30,2025-02-19,Active,25.92
LOAN0000006,APP0001352,CUST0000969,19252.61,9.99,48,2026-06-25,2030-06-25,Active,488.2
LOAN0000007,APP0000832,CUST0000718,20288.38,11.56,36,2025-01-11,2028-01-11,Active,669.61
LOAN0000008,APP0000613,CUST0000974,3295.85,14.56,60,2024-05-09,2029-05-09,Active,77.65
LOAN0000009,APP0000479,CUST0000316,4451.56,8.19,24,2023-06-06,2025-06-05,Paid Off,201.72
LOAN0000010,APP0000611,CUST0000577,35419.25,4.81,12,2023-01-14,2024-01-14,Paid Off,3029.07
LOAN0000011,APP0000275,CUST0000175,4040.1,9.49,72,2026-06-28,2032-06-27,Active,73.81
LOAN0000012,APP0001066,CUST0000725,32618.8,10.19,72,2022-03-22,2028-03-21,Active,607.42
LOAN0000013,APP0000075,CUST0000091,59621.87,6.72,36,2024-09-02,2027-09-02,Active,1833.33
LOAN0000014,APP0000833,CUST0000247,4491.77,12.86,36,2026-08-27,2029-08-26,Delinquent,151.04
LOAN0000015,APP0001229,CUST0000311,11484.24,5.73,72,2025-10-06,2031-10-06,Active,188.87
LOAN0000016,APP0000184,CUST0000359,17403.53,7.97,48,2024-03-14,2028-03-14,Active,424.63
LOAN0000017,APP0000120,CUST0000733,14253.79,8.34,24,2022-02-18,2024-02-18,Paid Off,646.87
LOAN0000018,APP0001402,CUST0000266,5410.24,10.75,24,2026-05-08,2028-05-07,Active,251.53
LOAN0000019,APP0001008,CUST0000441,,5.39,24,2022-01-29,2024-01-29,Paid Off,2083.16
LOAN0000020,APP0000944,CUST0000574,21419.91,8.31,60,2024-04-25,2029-04-25,Active,437.5
LOAN0000021,APP0000048,CUST0000826,1485.13,11.53,48,2024-04-18,2028-04-18,Active,38.77
LOAN0000022,APP0000744,CUST0000637,2333.49,12.77,36,2021-12-26,2024-12-25,Paid Off,78.37
LOAN0000023,APP0001053,CUST0000556,19506.33,8.73,24,2025-01-22,2027-01-22,Active,888.73
LOAN0000024,APP0000824,CUST0000510,22108.82,6.9,24,2025-12-29,2027-12-29,Active,988.87
LOAN0000025,APP0000538,CUST0000636,18967.98,9.53,60,2025-02-28,2030-02-28,Active,398.64
LOAN0000026,APP0000299,CUST0000233,56221.53,9.48,72,2023-06-17,2029-06-16,Active,1026.87
LOAN0000027,APP0001189,CUST0000457,9523.76,9.66,48,2021-11-20,2025-11-20,Paid Off,240.0
LOAN0000028,APP0000573,CUST0000016,10043.93,6.58,60,2022-10-22,2027-10-22,Active,196.9
LOAN0000029,APP0001424,CUST0000434,21345.51,10.97,36,2025-04-16,2028-04-15,Active,698.52
LOAN0000030,APP0001139,CUST0000694,38340.12,7.42,48,2025-07-07,2029-07-07,Active,925.59
LOAN0000031,APP0000771,CUST0000787,38278.36,7.69,36,2022-03-19,2025-03-18,Paid Off,1194.04
LOAN0000032,APP0001297,CUST0000569,17371.63,7.25,12,2025-01-14,2026-01-14,Paid Off,1505.11
LOAN0000033,APP0000674,CUST0000373,70278.98,13.66,36,2023-02-20,2026-02-19,Paid Off,2390.38
LOAN0000034,APP0001155,CUST0000621,7450.2,11.9,72,2022-01-11,2028-01-11,Active,145.27
LOAN0000035,APP0000153,CUST0000788,21922.6,9.94,12,2022-07-04,2023-07-04,Paid Off,1926.73
LOAN0000036,APP0001387,CUST0000435,19207.18,11.75,36,2026-04-08,2029-04-07,Active,635.66
LOAN0000037,APP0000802,CUST0000595,1788.34,13.65,72,2025-12-08,2031-12-08,Active,36.52
LOAN0000038,APP0000908,CUST0000515,7599.05,12.18,60,2025-08-15,2030-08-15,Active,169.73
LOAN0000039,APP0001362,CUST0000941,37692.29,8.79,36,2023-03-26,2026-03-25,Paid Off,1194.92
LOAN0000040,APP0000956,CUST0000456,6383.5,8.07,24,2026-04-11,2028-04-10,Active,288.91
LOAN0000041,APP0000283,CUST0000778,28375.58,4.47,72,2023-05-13,2029-05-12,Defaulted,450.04
LOAN0000042,APP0000096,CUST0000954,11373.45,8.7,24,2023-05-22,2025-05-21,Paid Off,518.03
LOAN0000043,APP0000623,CUST0000911,6721.1,8.04,24,2024-09-07,2026-09-07,Active,304.1
LOAN0000044,APP0000397,CUST0000363,34903.29,6.69,24,2023-02-02,2025-02-01,Paid Off,1557.81
LOAN0000045,APP0000192,CUST0000566,28863.92,8.35,36,2024-12-13,2027-12-13,Active,909.16
LOAN0000046,APP0000247,CUST0000361,47434.95,8.22,48,2022-10-17,2026-10-17,Active,1162.93
LOAN0000047,APP0000381,CUST0000212,9569.86,9.14,60,2022-04-15,2027-04-15,Active,199.31
LOAN0000048,APP0000064,CUST0000676,11951.63,7.69,36,2026-03-18,2029-03-17,Defaulted,372.81
LOAN0000049,APP0000946,CUST0000064,25684.03,9.52,84,2026-07-05,2033-07-04,Active,420.04
LOAN0000050,APP0000786,CUST0000550,10712.78,9.49,48,2026-02-11,2030-02-11,Active,269.09
LOAN0000051,APP0000456,CUST0000838,60460.23,7.93,48,2022-04-23,2026-04-23,Paid Off,1474.03
LOAN0000052,APP0000306,CUST0000697,28506.57,11.82,24,2021-10-23,2023-10-23,Paid Off,1339.51
LOAN0000053,APP0000246,CUST0000300,18733.16,4.86,24,2025-09-25,2027-09-25,Active,820.68
LOAN0000054,APP0000177,CUST0000039,41159.09,11.14,48,2025-09-27,2029-09-27,Active,1066.58
