payment_id,loan_id,customer_id,due_date,payment_date,amount_due,amount_paid,days_late,payment_status
PAY0000001,LOAN0000003,CUST0000556,2026-01-13,2026-01-13,1906.25,1906.25,0.0,On-time
PAY0000002,LOAN0000299,CUST0000136,2022-03-07,2022-03-07,486.64,486.64,0.0,On-time
PAY0000003,LOAN0000287,CUST0000874,2026-08-11,2026-08-16,1347.35,1347.35,5.0,Late
PAY0000004,LOAN0000074,CUST0000096,2025-06-08,2025-06-06,325.95,325.95,0.0,On-time
PAY0000005,LOAN0000528,CUST0000832,2025-01-02,2025-01-01,436.3,436.3,0.0,On-time
PAY0000006,LOAN0000115,CUST0000780,2024-03-13,2024-03-13,146.22,56.51,0.0,Partial
PAY0000007,LOAN0000102,CUST0000551,2024-02-19,2024-03-18,635.91,635.91,28.0,Late
PAY0000008,LOAN0000526,CUST0000184,2026-02-25,2026-02-24,341.99,341.99,0.0,On-time
PAY0000009,LOAN0000226,CUST0000893,2023-05-02,,101.32,0.0,,Missed
PAY0000010,LOAN0000379,CUST0000174,2026-05-31,2026-05-31,349.88,349.88,0.0,On-time
PAY0000011,LOAN0000294,CUST0000925,2022-04-10,2022-04-08,452.0,452.0,0.0,On-time
PAY0000012,LOAN0000042,CUST0000954,2024-08-21,,518.03,0.0,,Missed
PAY0000013,LOAN0000090,CUST0000721,2025-12-20,2025-12-20,213.64,91.48,0.0,Partial
PAY0000014,LOAN0000179,CUST0000796,2025-04-25,2025-04-23,76.24,76.24,0.0,On-time
PAY0000015,LOAN0000432,CUST0000070,2025-12-24,2025-12-22,261.4,261.4,0.0,On-time
PAY0000016,LOAN0000249,CUST0000632,2025-02-09,2025-02-09,1134.85,1134.85,0.0,On-time
PAY0000017,LOAN0000030,CUST0000694,2026-02-05,2026-03-08,925.59,925.59,31.0,Late
PAY0000018,LOAN0000328,CUST0000176,2024-12-16,,34.51,0.0,,Missed
PAY0000019,LOAN0000478,CUST0000586,2026-01-15,2026-01-15,382.05,382.05,0.0,On-time
PAY0000020,LOAN0000088,CUST0000710,2023-12-19,2023-12-18,1812.64,1812.64,0.0,On-time
PAY0000021,LOAN0000099,CUST0000232,2023-10-14,2023-10-12,124.7,124.7,0.0,On-time
PAY0000022,LOAN0000593,CUST0000684,2025-05-10,2025-05-10,300.58,300.58,0.0,On-time
PAY0000023,LOAN0000574,CUST0000356,2024-02-01,2024-01-30,2031.77,2031.77,0.0,On-time
PAY0000024,LOAN0000439,CUST0000280,2025-01-20,2025-01-19,216.4,216.4,0.0,On-time
PAY0000025,LOAN0000328,CUST0000176,2025-01-15,,34.51,0.0,,Missed
PAY0000026,LOAN0000162,CUST0000866,2026-07-19,2026-07-17,533.21,533.21,0.0,On-time
PAY0000027,LOAN0000297,CUST0000925,2025-10-16,2025-10-15,2888.78,2888.78,0.0,On-time
PAY0000028,LOAN0000023,CUST0000556,2025-03-24,2025-03-22,888.73,888.73,0.0,On-time
PAY0000029,LOAN0000574,CUST0000356,2025-01-31,2025-01-30,2031.77,2031.77,0.0,On-time
PAY0000030,LOAN0000571,CUST0000295,2022-04-18,2022-05-11,914.71,914.71,23.0,Late
PAY0000031,LOAN0000329,CUST0000886,2024-07-07,2024-07-06,1126.34,916.5,0.0,Partial
PAY0000032,LOAN0000283,CUST0000045,2026-08-14,2026-08-14,57.8,57.8,0.0,On-time
PAY0000033,LOAN0000184,CUST0000347,2026-03-12,2026-03-12,487.42,487.42,0.0,On-time
PAY0000034,LOAN0000244,CUST0000562,2025-06-30,2025-07-27,683.64,683.64,27.0,Late
PAY0000035,LOAN0000028,CUST0000016,2026-07-23,2026-07-23,196.9,196.9,0.0,On-time
PAY0000036,LOAN0000026,CUST0000233,2023-07-17,2023-07-16,1026.87,1026.87,0.0,On-time
PAY0000037,LOAN0000414,CUST0000003,2025-04-12,2025-04-10,22.1,22.1,0.0,On-time
PAY0000038,LOAN0000576,CUST0000001,2024-03-04,2024-03-03,341.13,341.13,0.0,On-time
PAY0000039,LOAN0000094,CUST0000345,2023-05-01,2023-04-30,610.74,610.74,0.0,On-time
PAY0000040,LOAN0000255,CUST0000491,2025-01-06,2025-02-03,379.26,379.26,28.0,Late
PAY0000041,LOAN0000294,CUST0000925,2023-06-10,2023-06-09,452.0,452.0,0.0,On-time
PAY0000042,LOAN0000505,CUST0000062,2026-07-19,,50.36,0.0,,Missed
PAY0000043,LOAN0000463,CUST0000684,2024-09-30,2024-09-30,397.2,397.2,0.0,On-time
PAY0000044,LOAN0000033,CUST0000373,2024-09-20,2024-09-20,2390.38,2390.38,0.0,On-time
PAY0000045,LOAN0000286,CUST0000607,2026-07-23,,448.57,0.0,,Missed
PAY0000046,LOAN0000239,CUST0000856,2026-04-10,2026-04-08,160.45,160.45,0.0,On-time
PAY0000047,LOAN0000416,CUST0000611,2024-04-08,2024-04-08,21.6,10.94,0.0,Partial
PAY0000048,LOAN0000207,CUST0000383,2026-06-17,2026-06-28,935.64,935.64,11.0,Late
PAY0000049,LOAN0000192,CUST0000222,2023-04-14,2023-04-12,834.2,834.2,0.0,On-time
PAY0000050,LOAN0000070,CUST0000916,2024-10-21,2024-10-20,592.68,592.68,0.0,On-time
PAY0000051,LOAN0000500,CUST0000918,2024-04-15,2024-04-15,199.95,199.95,0.0,On-time
PAY0000052,LOAN0000439,CUST0000280,2024-05-22,2024-05-22,216.4,216.4,0.0,On-time
PAY0000053,LOAN0000110,CUST0000466,2025-10-22,2025-10-21,434.4,178.23,0.0,Partial
PAY0000054,LOAN0000319,CUST0000112,2025-03-04,,132.31,0.0,,Missed
PAY0000055,LOAN0000280,CUST0000816,2026-01-11,2026-01-09,1002.69,1002.69,0.0,On-time
PAY0000056,LOAN0000443,CUST0000791,2024-06-01,2024-06-01,1882.62,1882.62,0.0,On-time
PAY0000057,LOAN0000028,CUST0000016,2026-04-22,2026-04-22,196.9,196.9,0.0,On-time
PAY0000058,LOAN0000493,CUST0000307,2023-06-21,2023-06-20,516.28,516.28,0.0,On-time
PAY0000059,LOAN0000539,CUST0000693,2023-12-03,2023-12-01,180.07,180.07,0.0,On-time
PAY0000060,LOAN0000492,CUST0000089,2025-05-30,,348.69,0.0,,Missed
PAY0000061,LOAN0000440,CUST0000395,2024-04-22,2024-04-21,555.31,555.31,0.0,On Time
PAY0000062,LOAN0000063,CUST0000024,2026-07-19,2026-07-19,101.19,101.19,0.0,On-time
PAY0000063,LOAN0000203,CUST0000928,2026-08-11,2026-08-10,478.83,478.83,0.0,On-time
PAY0000064,LOAN0000210,CUST0000782,2025-06-17,2025-06-15,324.08,324.08,0.0,On-time
PAY0000065,LOAN0000046,CUST0000361,2025-10-17,2025-10-16,1162.93,1162.93,0.0,On-time
PAY0000066,LOAN0000159,CUST0000902,2024-07-22,2024-07-21,47.23,47.23,0.0,On-time
PAY0000067,LOAN0000136,CUST0000678,2023-07-14,2023-07-14,62.52,62.52,0.0,On-time
PAY0000068,LOAN0000196,CUST0000862,2025-04-16,2025-04-16,272.29,272.29,0.0,On-time
PAY0000069,LOAN0000523,CUST0000015,2023-12-26,2023-12-26,566.64,566.64,0.0,On-time
PAY0000070,LOAN0000453,CUST0000869,2023-09-13,2023-09-12,1543.9,1543.9,0.0,On-time
PAY0000071,LOAN0000170,CUST0000156,2023-09-15,2023-09-15,1293.11,1293.11,0.0,On-time
